line name	trials
KALJOU	2011_9K_NB_allplates
KALO_UWA	2011_9K_NB_allplates
KAMAIRAZU	2011_9K_NB_allplates
KAMAORE1	2011_9K_NB_allplates
KARSINSKIJ	2011_9K_NB_allplates
KARUBORI	2011_9K_NB_allplates
KEIZEN_ZAIRAI	2011_9K_NB_allplates
KIHAI_HADAKA	2011_9K_NB_allplates
KILKIS	2011_9K_NB_allplates
KILTA	2011_9K_NB_allplates
KIRGIZKIJ247	2011_9K_NB_allplates
KOBAI_NO.10	2011_9K_NB_allplates
KOCHALA	2011_9K_NB_allplates
KOPECK	2011_9K_NB_allplates
KOZAN	2011_9K_NB_allplates
KR._FINSET	2011_9K_NB_allplates
KRIM16	2011_9K_NB_allplates
KULU	2011_9K_NB_allplates
KWAN	2011_9K_NB_allplates
KWAN_CHI	2011_9K_NB_allplates
KYO_BAE33	2011_9K_NB_allplates
KYOJO_ROKKAKU780	2011_9K_NB_allplates
KYONG_NO.1	2011_9K_NB_allplates
KYONG_NO.3	2011_9K_NB_allplates
LAGIEWNICKI	2011_9K_NB_allplates
LANDSORTE_VON_STOCKERAU	2011_9K_NB_allplates
